Close/Last,Volume,Open,High,Low,daily_returns
271.6,16725320,269.61,271.84,269.6,0.0025839793281654533
277.65,26474410,272.82,278.0,272.5,0.02227540500736369
277.66,31565560,278.03,279.3698,274.3,3.601656762119987e-05
279.93,23260030,279.4,280.6945,277.15,0.008175466397752684
277.42,24618590,276.9,278.73,274.87,-0.008966527346122244
277.94,23916670,275.72,278.05,275.32,0.0018744142455482393
277.32,18931700,279.157,279.77,276.58,-0.002230697272792681
280.98,26120130,277.52,282.8477,277.39,0.013197749891821875
282.51,23113660,282.345,283.66,280.55,0.00544522741832143
281.03,22604230,282.0,282.51,279.83,-0.0052387526105270865
280.75,26186850,282.07,284.1,279.46,-0.0009963349108634834
277.01,32935630,278.934,280.37,274.45,-0.013321460373998284
279.32,26259740,278.03,280.97,276.26,0.00833904913180028
281.4,24364320,278.905,281.52,277.29,0.0074466561649719765
286.14,23384060,283.84,286.42,283.42,0.016844349680170678
289.67,22768070,287.37,289.99,286.5,0.012336618438526736
289.05,23176070,289.0,289.69,286.642,-0.0021403666240894514
286.54,33604070,289.43,289.575,282.95,-0.008683618751081146
286.22,33566850,288.99,290.15,283.8303,-0.0011167725273958373
286.5,18168290,286.235,288.618,286.08,0.000978268464817189
284.91,20944850,285.17,286.66,283.91,-0.005549738219895239
284.82,16267360,286.36,286.775,283.74,-0.0003158892281773795
287.12,17879050,285.42,287.23,284.0,0.008075275612667632
286.51,16191300,286.22,287.5883,284.65,-0.0021245472276401056
289.52,13900170,286.88,289.63,286.1,0.010505741509894806
289.46,16589340,288.505,289.5,287.6238,-0.00020723956894175277
288.33,16117630,289.75,291.55,287.81,-0.003903820907897426
286.44,18616580,288.8,289.25,285.2,-0.006554989075018169
286.95,13955930,287.21,288.66,285.86,0.00178047758692923
289.81,14570390,286.63,289.97,286.34,0.009966893186966308
292.85,18249050,289.48,292.9,289.3,0.010489631137641897
294.6,22516030,293.19,294.82,290.02,0.005975755506231861
293.08,20075250,292.39,293.43,291.08,-0.005159538357094484
290.73,21812990,292.04,294.82,290.27,-0.008018288521905115
296.77,29850460,288.694,297.47,288.64,0.02077528978777554
304.36,40817650,299.72,305.84,298.06,0.02557536139097638
304.65,22830160,303.245,305.4,301.85,0.0009528190300958084
302.62,18175770,305.02,305.65,302.0035,-0.006663384211390011
302.01,20006060,304.3,304.59,300.42,-0.002015729297468849
299.09,17666080,300.99,302.429,298.95,-0.009668554021390108
299.72,22605730,298.987,300.87,296.83,0.002106389381122842
303.59,16348070,301.115,304.22,301.06,0.012912051247831124
301.88,26285340,304.42,304.5,301.5,-0.005632596594090655
301.83,18983830,302.865,305.19,301.49,-0.00016562872664638295
301.15,16290550,302.2,303.3602,300.18,-0.0022529238312958277
301.14,14751610,300.99,302.6,300.26,-3.320604349987821e-05
300.18,17184080,301.005,301.09,298.2,-0.003187886033074294
300.21,15046820,299.78,300.61,297.4651,9.994003597824097e-05
297.25,19927000,300.82,302.14,297.0,-0.0098597648312847
295.71,19633360,298.415,299.92,295.38,-0.005180824222035363
296.99,23652950,297.55,298.54,294.08,0.004328565148287167
299.79,21853430,299.56,301.39,298.1,0.009427926866224512
304.82,28356300,303.26,305.32,301.82,0.016778411554754902
305.22,19550820,303.76,305.31,300.76,0.001312249852372105
